,Region_x,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region_y,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Total Ecological Footprint,Cropland,Grazing Land,Forest Land,Fishing Water,Urban Land,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
180,,,,,,,,,,,,Latin America,36.3495,,,0.1617,0.089765,0.10299,2.4325,0.28700000000000003,3.6285,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,-4.9035,2.094,9.587,5
181,,,,,,,,,,,,Africa,36.3495,0.3825,5938.9115,0.34950000000000003,0.274,0.6705,0.48019999999999996,0.04059,1.054,0.5085000000000001,0.252885,2.7514,2.1145,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
182,,,,,,,,,,,,Latin America,36.3495,0.64,5938.9115,0.7224999999999999,0.274,0.8594999999999999,1.4595,0.04059,3.6285,0.847,1.286,58.775,5.498,0.045,64.975,62.829,2.094,3.1294999999999997,5
183,,,,,,,,,,,,Asia-Pacific,36.3495,,,0.34950000000000003,0.089765,0.10299,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
184,,,,,,,,,,,,Asia-Pacific,36.3495,0.554,5938.9115,0.536,0.089765,0.2935,0.48019999999999996,0.04059,1.054,0.5085000000000001,0.252885,2.7514,0.41495,0.105,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
185,,,,,,,,,,,,Africa,36.3495,0.4685,5938.9115,0.1617,0.4565,0.482,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.7715,2.7514,0.41495,0.014865,3.0858499999999998,1.254,0.6065,3.1294999999999997,3B
186,,,,,,,,,,,,Latin America,36.3495,,,0.1617,0.089765,0.10299,1.4595,0.04059,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,1.3525,3.1294999999999997,3B
187,,,,,,,,,,,,Latin America,36.3495,,,,,,,,7.4784999999999995,,,,,,3.0858499999999998,-4.9035,4.319,3.1294999999999997,2
188,,,,,,,,,,,,Africa,36.3495,0.3825,5938.9115,0.34950000000000003,0.089765,0.2935,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.7715,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,5
189,,,,,,,,,,,,Asia-Pacific,36.3495,,,,,,,,2.345,,,,,,3.0858499999999998,-4.9035,1.3525,15.965,2
190,,,,,,,,,,,,Asia-Pacific,36.3495,,,0.7224999999999999,0.6395,0.10299,1.4595,0.28700000000000003,3.6285,0.16679000000000002,0.252885,2.7514,5.498,0.014865,9.325,1.254,2.094,3.1294999999999997,3L
191,,,,,,,,,,,,Middle East/Central Asia,36.3495,0.8115,5938.9115,0.536,0.4565,0.10299,5.3515,0.369,7.4784999999999995,0.16679000000000002,0.252885,2.7514,1.269,0.195,3.0858499999999998,-4.9035,4.319,3.1294999999999997,3B
192,,,,,,,,,,,,Asia-Pacific,36.3495,0.4685,5938.9115,0.34950000000000003,0.089765,0.2935,0.48019999999999996,0.6970000000000001,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.135,3.0858499999999998,1.254,1.3525,3.1294999999999997,3B
193,,,,,,,,,,,,Latin America,36.3495,0.726,17434.9365,0.536,0.089765,0.10299,3.4055,0.7789999999999999,4.9115,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,-4.9035,2.836,9.587,3L
194,,,,,,,,,,,,Latin America,36.3495,0.726,5938.9115,0.34950000000000003,0.089765,0.10299,1.4595,0.20500000000000002,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,-4.9035,1.3525,9.587,3B
195,,,,,,,,,,,,Latin America,36.3495,0.726,5938.9115,,,,,,3.6285,,,,,,3.0858499999999998,-4.9035,2.094,3.1294999999999997,2
196,,,,,,,,,,,,Asia-Pacific,36.3495,0.726,5938.9115,0.909,0.089765,0.2935,0.48019999999999996,0.45099999999999996,2.345,0.847,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,1.3525,3.1294999999999997,3B
197,,,,,,,,,,,,Africa,36.3495,0.554,5938.9115,0.34950000000000003,0.089765,0.2935,0.48019999999999996,0.45099999999999996,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,0.6065,3.1294999999999997,3B
198,,,,,,,,,,,,Asia-Pacific,36.3495,0.4685,5938.9115,0.536,0.089765,0.10299,0.48019999999999996,0.45099999999999996,1.054,0.5085000000000001,0.252885,2.7514,1.269,0.22499999999999998,3.0858499999999998,1.254,0.6065,3.1294999999999997,3L
199,,,,,,,,,,,,Africa,36.3495,0.554,5938.9115,0.34950000000000003,0.4565,0.482,0.48019999999999996,0.04059,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,1.3525,3.1294999999999997,3L
200,,,,,,,,,,,,Asia-Pacific,36.3495,0.64,5938.9115,0.1617,0.089765,0.10299,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,1.269,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,3B
201,,,,,,,,,,,,Asia-Pacific,36.3495,0.726,5938.9115,1.282,0.274,0.10299,0.48019999999999996,0.20500000000000002,2.345,0.847,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,1.3525,3.1294999999999997,3B
